Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
466,3542,1925,Salaried,29,Single,1,,2,0.2,19115,9107,10470,,Car,Rural,Graduate,Male,MNC,Yes
467,15964,2056,Salaried,38,Married,0,740,4,0.48,9019,3869,22326,24,Business,Urban,Graduate,Male,Private,No
,19575,6917,Salaried,,Single,0,591,2,0.23,16814,15447,5597,60,Car,Urban,Graduate,Female,Government,No
469,8313,3144,Salaried,22,Married,2,591,2,0.48,9255,27370,38304,72,Education,Semiurban,,Male,MNC,No
470,19924,9631,Self-employed,58,Single,2,,0,0.2,,7971,31788,36,Home,Rural,Graduate,Male,Private,No
471,15807,552,Salaried,56,,1,569,1,0.26,5782,31269,,36,Home,Rural,Graduate,Female,MNC,No
472,11580,8907,Contract,57,Married,0,622,0,0.33,1234,25651,34071,36,Personal,Semiurban,Graduate,,Government,No
473,19749,5383,Salaried,35,Married,2,566,4,0.57,5205,35757,6067,84,Education,Urban,Graduate,Female,Unemployed,No
,,3911,Salaried,48,,2,576,2,0.57,1420,23446,6024,72,Car,Urban,Graduate,Male,MNC,No
475,9494,9905,Contract,38,Single,,724,3,0.2,17152,38108,8715,12,Education,Semiurban,Graduate,Male,Business,Yes
476,6312,3389,Self-employed,54,Married,2,551,3,0.28,9596,9643,,72,Home,Rural,Graduate,Male,Business,No
477,3324,9299,Salaried,42,Single,1,612,2,0.17,19488,3823,12226,12,Car,Urban,,Female,Private,
478,5141,8442,Contract,31,,0,611,0,0.35,,13454,36399,36,Education,Urban,Graduate,Female,Private,No
479,3810,2430,Contract,33,Single,,649,1,0.33,19689,3932,14412,48,Home,Rural,Not Graduate,Male,Government,No
480,8588,458,Salaried,24,Single,3,,0,0.55,17922,10220,13569,48,Car,,Not Graduate,Male,Private,No
481,7301,207,Salaried,42,Married,0,566,2,0.57,17715,8554,3369,12,Car,Semiurban,Graduate,Female,Private,No
482,17485,899,Unemployed,27,Married,2,618,2,,8261,2429,33021,36,Home,Urban,Graduate,Male,Private,
483,13714,21,Self-employed,44,Married,3,716,1,,13765,28208,1528,72,Car,Urban,Graduate,Male,MNC,Yes
484,6748,8601,Self-employed,24,Single,2,759,4,0.55,5944,7444,31314,48,Home,Urban,Graduate,Female,Private,
485,11435,894,Contract,48,Single,0,666,4,0.5,7126,10510,38443,12,Business,Rural,Graduate,Male,Private,
486,5709,514,Salaried,35,Married,0,795,1,0.1,,44045,19047,72,Business,Semiurban,Graduate,Female,Government,Yes
487,15116,7294,Salaried,21,Single,0,748,4,0.26,5263,10537,20748,36,Car,Rural,Graduate,Female,Government,Yes
488,,4904,Salaried,23,Married,1,630,3,0.31,15300,7147,36109,24,Car,Semiurban,Graduate,Male,Private,No
489,12150,7867,Contract,34,Married,2,588,4,0.21,,40399,14919,36,Home,Urban,Not Graduate,Male,Unemployed,
490,8530,4109,Self-employed,58,Single,1,585,4,0.2,2892,3598,16256,84,Car,Urban,Not Graduate,Male,Government,No
491,12188,7179,Self-employed,21,Married,0,717,4,0.12,1198,,5905,36,Personal,Semiurban,Graduate,Female,,Yes
492,16683,1560,Salaried,58,Married,3,722,3,0.42,18756,6718,9884,72,,Semiurban,Graduate,Male,Private,No
493,2504,1266,Salaried,58,Married,2,681,4,0.23,18276,42691,29906,72,Car,Semiurban,Graduate,Female,Government,No
494,3214,3638,Salaried,41,Married,1,779,3,0.13,1883,13782,6950,60,Car,Rural,Not Graduate,Female,MNC,Yes
495,3531,8941,Contract,49,Married,2,702,1,0.22,797,49244,2360,60,,Urban,Not Graduate,Female,Private,Yes
,2823,3427,Self-employed,25,Married,3,746,0,0.5,8209,51,38895,72,Car,Urban,Not Graduate,Male,Private,No
497,19312,4780,Salaried,30,Single,1,707,1,0.53,8235,16702,22946,72,Personal,Semiurban,Graduate,Female,Private,No
498,7029,1927,Contract,48,Married,0,753,0,0.34,16538,10184,9730,24,Business,Urban,Not Graduate,Female,Unemployed,Yes
499,15428,2356,Salaried,41,Married,,745,1,0.31,15257,12468,23161,24,Education,Urban,Graduate,Male,Private,Yes
500,18517,4790,Unemployed,27,Married,2,765,0,0.59,8050,22072,28738,36,Home,Rural,Not Graduate,Male,MNC,No
501,4105,306,Salaried,23,Married,2,578,0,0.2,5947,15479,4925,84,Home,Urban,Not Graduate,Male,Private,No
502,5627,7979,Self-employed,40,Single,2,750,2,0.21,9617,,9463,48,,Semiurban,Graduate,Male,Government,Yes
503,14972,3665,Salaried,39,Single,2,745,0,0.25,1892,23402,18412,84,Home,Urban,Graduate,Female,Business,Yes
504,,7057,Unemployed,55,Married,0,600,,0.19,3424,7210,23402,24,Personal,Rural,Not Graduate,Male,,No
505,6910,661,,24,Single,1,701,2,0.29,,45702,35010,36,Car,Rural,Graduate,Female,Government,No
506,13003,4644,Salaried,25,Married,0,563,4,0.56,13418,36724,26717,84,Business,Rural,Graduate,Female,Private,No
,15843,8503,Salaried,21,Married,0,618,4,0.41,2015,6057,10797,12,Education,Urban,Graduate,Female,Private,No
508,13704,2920,Salaried,24,Married,0,695,2,0.31,4833,30916,21594,60,Car,Urban,Graduate,Female,MNC,Yes
509,17761,9274,Salaried,32,Married,2,719,3,0.57,9894,27268,7406,84,Home,Urban,Graduate,Male,Private,No
510,8190,8946,Unemployed,47,Married,2,606,0,0.12,15942,43978,14965,48,Home,Urban,Graduate,Female,Business,No
511,19640,6236,,43,Single,2,760,0,0.21,9065,47358,14733,36,Education,Rural,Graduate,Male,Private,
512,7645,6078,Contract,45,Married,1,561,2,0.38,565,23259,27926,84,Personal,Urban,Graduate,Male,Private,No
513,11588,352,Self-employed,41,Single,3,759,2,0.41,7412,13864,29783,72,Education,Urban,Graduate,Male,Business,No
514,,9094,,44,Married,2,566,3,0.12,18402,34293,18824,12,Business,Urban,Graduate,Female,Government,No
515,10053,7005,Salaried,45,Married,1,579,4,0.3,10077,46045,37394,60,Education,Rural,Graduate,Female,Private,No
516,5330,158,,52,,2,637,1,0.42,10315,7043,29287,12,Home,Urban,Graduate,Male,Government,No
517,10662,956,Contract,52,,2,752,4,0.45,12834,41473,17568,36,Personal,Semiurban,Graduate,Male,Private,No
518,9114,,Unemployed,25,Married,,648,0,0.42,2314,38893,31436,24,Personal,Rural,Not Graduate,Female,MNC,No
519,15323,8595,Salaried,56,Single,0,572,2,0.26,4412,40642,22380,60,Education,Rural,Graduate,Male,Private,No
,3353,9579,Salaried,59,Single,0,758,3,0.15,3883,12529,25796,12,Business,Semiurban,Not Graduate,Male,Private,No
521,12975,3453,Salaried,36,Single,1,678,4,0.31,11384,30868,9031,24,Home,Urban,Graduate,Female,MNC,Yes
522,13023,6675,Unemployed,53,Single,3,628,3,,10051,26309,22947,,Car,Semiurban,Not Graduate,,,No
523,2667,955,Salaried,41,,3,581,,0.57,8216,23284,4188,36,Personal,Rural,Graduate,Male,Private,
524,11337,6295,,29,Single,1,558,0,0.34,,47723,26669,,Education,,Graduate,Male,Private,No
525,15659,1712,Contract,26,Married,2,564,1,0.26,7902,35268,36713,60,Business,Semiurban,Graduate,Male,MNC,No
526,5719,4703,Salaried,55,Married,,705,3,0.48,13187,3464,,12,Business,Urban,Graduate,,Unemployed,No
527,9483,6563,Salaried,59,Married,2,701,3,0.35,17573,18643,,48,Home,Urban,Graduate,Male,Business,Yes
528,2539,9465,Self-employed,42,Married,1,737,1,0.26,12288,29265,24171,72,Personal,Rural,Graduate,Male,Government,No
,6964,5631,Unemployed,25,Single,1,712,3,0.51,14210,15954,11807,60,Home,Rural,Graduate,Male,Business,No
530,6835,9633,Salaried,,Single,1,763,3,0.53,6884,23880,11204,72,Car,Urban,Not Graduate,Female,Government,No
,8042,9989,Salaried,37,Married,,576,4,0.44,19541,19043,28066,60,Car,Urban,Graduate,Female,,No
532,16837,1394,Salaried,32,,0,760,4,0.12,10559,255,38367,12,Car,,Graduate,Male,Unemployed,Yes
533,9312,9461,,43,Single,1,658,1,0.38,18125,1502,23658,48,,Rural,Graduate,Female,Private,Yes
534,7320,4732,Self-employed,36,Married,3,625,0,0.48,3688,4656,38081,12,Personal,Semiurban,Graduate,Male,Private,No
535,15216,3714,Salaried,23,Single,0,697,3,0.17,14114,10302,35986,36,Home,Rural,Not Graduate,Male,MNC,Yes
536,4779,529,Salaried,50,Married,0,614,0,0.21,5369,5430,14786,72,Home,Urban,Not Graduate,Male,Business,No
537,19308,2958,Salaried,42,Married,1,762,1,0.54,,41366,30283,24,Car,,Not Graduate,Male,Private,No
538,3581,7904,Self-employed,,Married,2,726,1,,4023,27425,1056,,Personal,Urban,Not Graduate,Female,Private,Yes
,14677,,Self-employed,49,Married,2,,4,0.48,15982,48744,33911,36,Personal,Urban,Graduate,Male,Government,No
540,7713,6895,Contract,57,Single,2,678,3,0.34,17100,1860,9559,36,Education,Semiurban,Graduate,Male,Government,Yes
541,18639,9131,Salaried,43,Single,1,559,2,0.32,3967,6158,27058,72,Personal,Urban,Graduate,Female,Government,No
542,,525,Contract,33,Single,2,596,1,,7423,5806,23745,60,Personal,Rural,Not Graduate,Male,Private,No
543,12136,6477,Contract,52,Married,3,672,3,0.51,6450,20738,1615,36,Home,Semiurban,Not Graduate,Male,Unemployed,No
544,,1,Salaried,43,Married,3,608,0,0.28,12213,17106,9062,84,Personal,Semiurban,Graduate,Male,Private,No
545,7124,374,Salaried,37,Single,3,645,4,0.37,3215,9474,29214,48,Personal,Urban,Graduate,Male,Government,No
546,3015,4648,Salaried,41,Single,3,739,0,0.44,390,16997,39745,36,Home,Urban,Not Graduate,Male,Government,No
547,,2365,,22,Married,0,652,1,0.45,19421,32599,11681,48,Personal,Urban,Graduate,Male,Private,No
548,10415,1525,Salaried,57,Married,3,673,1,0.58,232,,7984,12,Home,Rural,Not Graduate,Male,Private,No
549,15550,1646,Salaried,26,Single,2,635,0,0.37,19515,10170,28579,60,,Semiurban,Graduate,Male,Unemployed,No
550,16512,13,Salaried,38,Married,1,695,1,0.3,7634,,26274,48,Business,Urban,Graduate,,MNC,Yes
551,6158,4599,Contract,50,Married,2,661,3,0.58,11498,,38739,36,Home,Urban,Graduate,Female,Private,No
552,8970,2278,Salaried,42,Married,3,723,1,0.42,10916,,28399,60,Home,Semiurban,Graduate,Female,MNC,No
553,8938,3155,Contract,53,Married,0,709,4,0.25,233,25792,32481,84,Personal,Rural,,,,
554,15772,8321,Self-employed,50,Single,3,,3,0.16,1391,30216,1944,60,Home,Semiurban,Graduate,Female,Business,No
555,12344,3814,Contract,37,Single,1,769,2,0.52,11084,7232,29457,48,Car,Urban,Not Graduate,Female,Private,No
556,9266,3216,Self-employed,52,Married,,567,1,0.28,9447,12674,10114,48,Car,Urban,Graduate,Female,MNC,No
557,10702,8219,Salaried,34,Married,1,716,1,0.43,14184,16052,19130,24,Education,Urban,Not Graduate,Male,Private,No
558,2384,2113,Self-employed,,Married,1,726,4,0.34,11882,48542,13312,24,Home,Urban,Graduate,Female,Government,No
559,2404,9444,Salaried,56,Married,1,770,,0.2,14838,5913,33596,60,Personal,,Not Graduate,Male,MNC,No
560,10175,4356,Salaried,54,Married,,631,0,0.4,17273,46870,39551,72,Personal,Urban,Graduate,Female,Private,No
561,17158,5543,Unemployed,29,Single,3,721,0,0.13,7902,48157,10751,72,Business,Urban,Graduate,Male,Government,Yes
562,,4555,Salaried,48,Married,1,621,0,0.31,12879,27913,7907,24,Education,Semiurban,Graduate,Female,Private,No
563,11860,7062,Salaried,31,Married,2,603,4,0.37,17129,10567,29114,36,Personal,Urban,Graduate,Male,Business,No
,7989,3374,Contract,34,Married,0,772,0,0.32,9911,38379,26009,,Business,Rural,Not Graduate,,Private,Yes
565,17106,6430,Contract,59,Married,2,711,0,0.47,,9432,20310,60,Personal,Urban,Graduate,Male,Government,No
566,19844,3466,Self-employed,39,Married,,620,2,0.51,731,319,,12,Business,Semiurban,Graduate,Male,Unemployed,No
567,5636,,Salaried,35,Married,2,713,0,0.49,799,24469,19996,24,Car,Urban,Not Graduate,Male,Private,
568,12916,629,,48,Single,3,695,1,0.12,7025,45454,7047,48,Car,Rural,Graduate,Male,Private,Yes
,6809,269,Salaried,44,Married,1,587,4,0.2,14481,26490,29767,84,Personal,Urban,Not Graduate,Male,Business,No
570,,5724,,28,Married,3,736,3,0.37,7624,,17347,60,Education,Urban,Graduate,Male,MNC,Yes
571,17444,5897,Unemployed,29,Single,2,686,2,0.57,14961,4791,37527,24,Home,Rural,Not Graduate,Female,Unemployed,No
572,7997,3432,Contract,53,Single,1,750,4,0.52,,31736,25102,36,Education,Urban,Graduate,Male,Private,No
573,4048,,,53,Married,0,787,4,0.52,8232,329,5263,84,Education,Urban,Not Graduate,Male,Private,No
574,14338,6276,,39,Single,2,,1,0.25,3367,8851,2902,60,Home,Semiurban,Graduate,Female,MNC,Yes
575,19100,5895,Contract,23,Married,1,728,0,0.31,13262,44078,31823,60,Car,Semiurban,Graduate,Male,MNC,Yes
576,6544,7115,Contract,30,Married,0,584,1,0.34,5229,23126,31540,72,Car,Urban,Graduate,Male,Business,No
577,6976,,Salaried,21,Married,0,631,0,0.18,18799,21300,36335,48,Home,Urban,Graduate,Male,Private,No
578,14775,575,Contract,49,Single,3,682,0,0.12,13747,10164,11190,60,Business,,Graduate,Female,Private,Yes
579,12015,7029,Salaried,54,Single,2,691,4,0.57,19333,24509,28690,48,Education,Urban,Graduate,Male,Private,No
580,5419,,Self-employed,33,Married,0,769,0,0.22,4261,5703,3994,24,Personal,Semiurban,Graduate,Male,Unemployed,Yes
581,16430,9499,Contract,21,Married,1,707,,0.22,3466,27109,38997,36,Car,Rural,Not Graduate,Female,Private,Yes
582,9239,3192,Self-employed,,Single,0,553,2,0.14,13785,43417,3010,84,Personal,Urban,Graduate,Male,Government,No
583,16489,3178,Salaried,49,Married,0,716,2,0.56,3088,22554,8377,,Home,Semiurban,Not Graduate,Female,,No
584,18633,6052,Self-employed,33,Married,3,761,4,0.39,13015,27676,14036,36,Personal,Rural,Graduate,Male,Private,Yes
585,12357,2734,Self-employed,49,Single,3,741,1,,1115,23804,27467,60,Personal,Rural,Graduate,Male,Private,No
586,19154,6116,Unemployed,59,Single,1,702,3,0.56,4578,45440,1048,60,Education,Urban,Not Graduate,Female,Business,No
587,6363,,Salaried,44,Single,3,705,0,0.27,2590,36923,,24,Home,Urban,,Male,Private,No
588,12176,9847,Salaried,46,Single,0,753,3,0.41,,29802,17038,72,Personal,Rural,Graduate,Female,Private,No
589,19461,9771,Contract,37,Married,0,743,1,,3573,24795,33576,72,Car,Urban,Graduate,Female,Private,Yes
590,10427,2203,Salaried,27,Single,3,784,1,0.19,,2611,8878,72,Home,Urban,Graduate,Male,MNC,Yes
591,10580,1390,Self-employed,33,Single,0,755,4,0.52,10639,,28609,48,Car,Urban,,Female,Unemployed,No
592,6858,1742,Self-employed,25,Married,0,699,2,0.48,9422,16479,25070,72,Business,Urban,Graduate,Male,Business,No
593,12040,1925,Contract,46,Married,1,708,2,0.28,10858,9180,22996,36,Personal,,Graduate,Female,MNC,Yes
594,17254,619,Self-employed,23,Married,3,572,1,0.29,4975,9304,19161,84,Home,Rural,Graduate,Male,Government,No
595,13470,1274,Self-employed,27,Married,0,597,4,0.37,4925,14610,3228,84,Car,Urban,Graduate,Male,Business,No
596,3252,956,Salaried,59,Single,3,697,4,0.1,10786,8437,27365,48,Personal,Urban,,Male,Unemployed,No
597,8996,1939,Salaried,21,Single,1,674,0,0.22,19814,43118,26188,24,Education,Rural,Not Graduate,Male,Government,
598,14173,3953,Salaried,37,Married,3,715,2,0.2,14716,12521,9888,,Car,Urban,Graduate,Male,Private,Yes
599,6673,968,Salaried,45,Married,0,,1,0.23,1995,24028,24130,84,Car,Rural,Graduate,Female,Unemployed,No
600,17781,9508,Self-employed,23,Single,3,,3,0.5,13844,,19790,36,Business,Rural,Graduate,Female,MNC,No
601,15051,9235,Contract,35,Married,0,756,2,0.24,3891,27301,25824,84,Education,Urban,,Male,Private,Yes
602,8881,281,,49,Married,0,637,0,0.2,15522,38015,34405,12,Business,Rural,Graduate,,Unemployed,No
603,8949,6262,Contract,52,Married,0,766,4,0.35,7145,21740,25474,24,Education,Rural,Graduate,Female,Private,Yes
604,11521,1058,Unemployed,46,Married,1,550,1,0.53,8498,36845,18333,24,Car,Urban,Graduate,Male,Private,No
605,10017,4293,Contract,,Married,3,684,2,0.22,9554,21282,37355,12,Business,Urban,Graduate,Male,Business,Yes
606,8941,5178,,45,Married,1,734,3,0.14,2102,10858,34879,48,Personal,,Graduate,Male,Private,Yes
607,12209,6980,Self-employed,48,Married,3,,0,0.28,3030,44159,9367,84,Education,Urban,Not Graduate,Male,Business,
608,19715,9200,Salaried,29,Married,1,689,0,,8524,43714,1722,84,Car,Semiurban,Graduate,Male,,No
,11550,1229,Salaried,21,Married,2,655,2,0.38,8107,15186,32145,84,Home,Rural,Graduate,Female,Private,Yes
610,6637,9227,Salaried,49,Married,0,682,3,0.51,16626,34185,38634,72,Education,Urban,Graduate,Female,,No
611,6854,4585,Unemployed,,Single,0,657,0,0.58,18268,31194,11139,72,Education,Urban,Graduate,Male,Government,No
612,12320,8467,Contract,36,Single,1,727,1,0.5,14935,25230,3128,72,Personal,Urban,,Female,Private,No
613,6892,2740,Salaried,27,Married,2,591,0,0.4,9624,27018,21617,72,Education,Urban,Graduate,Male,Unemployed,No
614,9043,2289,Salaried,34,Married,0,651,3,0.35,15823,49262,29080,72,Education,Rural,Graduate,Male,Government,Yes
615,18521,1239,Contract,49,Single,3,673,,0.12,7863,24665,36285,12,Personal,Semiurban,Not Graduate,Male,,Yes
616,,5370,Salaried,39,Married,,689,4,0.59,3109,41722,18533,24,Personal,Semiurban,Not Graduate,Male,Private,No
617,9941,125,Salaried,39,,0,652,2,0.29,18570,46359,33624,48,Business,Urban,Graduate,Male,MNC,Yes
618,16388,7473,Contract,22,Single,0,695,3,,12482,40159,28956,36,Car,Semiurban,Not Graduate,,Government,Yes
619,7569,9400,Salaried,35,Single,1,743,0,0.43,1550,44132,34077,72,Car,Semiurban,Not Graduate,Male,Private,No
620,6300,5342,Salaried,23,Single,1,623,0,0.24,646,43139,4952,12,Business,Semiurban,Graduate,Male,Private,No
621,8269,7351,Self-employed,31,,3,756,4,0.39,13407,21516,23796,84,Car,Urban,Graduate,Female,Government,Yes
622,5818,6638,Contract,,Single,3,771,4,0.39,12700,35272,32746,48,Education,Rural,Graduate,Female,Private,
623,14015,6570,Self-employed,38,Married,0,657,1,0.32,537,24673,22249,48,Business,Rural,Graduate,Male,Business,Yes
624,14234,3249,Salaried,22,Single,0,,4,0.52,14166,5239,1015,48,Business,,Not Graduate,Female,Unemployed,No
625,8254,9110,Salaried,52,Married,1,566,1,0.23,6572,,26957,12,Car,Semiurban,Graduate,Female,Private,No
626,19144,7595,Salaried,28,Married,0,745,0,0.32,234,26415,17005,36,Home,Urban,Graduate,,MNC,Yes
627,9350,6294,Self-employed,42,Single,0,620,1,0.37,14067,37888,22292,72,Car,Urban,Graduate,Male,Unemployed,No
628,17183,6527,Contract,26,Married,1,611,1,0.43,9696,27195,32876,48,Home,Semiurban,Graduate,Male,Unemployed,No
,8238,5757,Salaried,32,Married,0,590,2,0.49,14150,39161,15817,12,Business,Urban,Graduate,Female,Unemployed,No
630,8090,1969,Contract,56,Single,,772,4,0.3,17758,29323,26470,84,Home,Semiurban,Graduate,Male,MNC,Yes
631,13637,891,Salaried,35,Married,2,792,1,0.42,1909,34964,10759,24,Education,Rural,Graduate,Male,Government,No
,14647,4470,Salaried,,Married,3,796,0,0.18,12150,36234,7412,84,Personal,Urban,Not Graduate,Male,Government,Yes
633,11911,7175,Salaried,38,Married,1,780,3,0.57,80,30763,21504,12,Home,Urban,Not Graduate,Female,Government,No
634,10472,9556,Salaried,22,Single,2,668,1,0.29,2083,,9507,12,Personal,Rural,Not Graduate,Female,MNC,Yes
635,5266,8320,Self-employed,33,,3,711,4,0.46,13378,18105,22050,12,Education,Rural,Not Graduate,Male,Private,No
636,2666,9206,Self-employed,35,Married,3,747,2,0.11,15217,,5820,48,Personal,Semiurban,Not Graduate,Male,Private,Yes
637,6188,9991,Salaried,40,Single,3,791,0,,18074,29739,8835,12,Education,Semiurban,Graduate,Female,Private,Yes
638,19055,6812,Self-employed,49,Married,2,,2,0.34,17140,48205,,24,Personal,Urban,Graduate,Male,MNC,Yes
639,12161,7519,Salaried,49,Single,2,594,3,0.54,2670,31969,35617,48,Personal,Urban,Graduate,Male,,No
640,13314,4612,Contract,23,Married,3,607,1,0.36,3751,14497,,84,Car,Semiurban,Graduate,Male,Government,No
641,14891,9710,Unemployed,39,Married,0,728,1,0.56,11744,1816,,24,Home,Rural,Graduate,Female,Private,No
642,6777,1198,Salaried,23,Single,0,675,4,0.34,5261,26483,7840,60,Personal,Urban,Not Graduate,Female,Business,Yes
643,5900,5238,Self-employed,34,Married,2,711,,,14691,43481,38834,84,Business,Semiurban,Graduate,Female,,No
644,15716,6089,Salaried,24,Married,2,593,0,0.16,6852,22159,32440,12,Car,Semiurban,,Male,,No
645,8981,6257,Salaried,31,Married,2,564,3,0.5,1494,3849,36183,72,Home,,,Male,Private,No
646,8376,7705,Salaried,51,Single,3,627,2,0.22,17285,21612,31636,72,Car,Urban,Graduate,Male,Unemployed,No
647,18907,3719,Contract,52,Married,0,619,3,0.55,672,39617,3389,48,Home,Rural,Not Graduate,Female,Government,No
648,12160,302,Self-employed,47,Married,2,727,1,0.56,8630,33826,1763,72,Education,Rural,Graduate,Male,,No
649,,,,,Married,2,,2,0.57,10268,44498,24925,,Personal,Semiurban,Graduate,Male,Business,No
,18282,4440,Contract,22,Married,1,791,4,0.36,444,18706,27549,48,Business,Semiurban,Graduate,Female,Government,Yes
651,12488,4909,Self-employed,29,Married,3,709,3,0.44,9157,24563,24457,84,Car,Rural,Not Graduate,Male,Private,No
652,7240,3072,Contract,48,Single,1,744,2,0.49,11982,4359,22423,12,,Rural,Graduate,Male,Government,No
653,12453,3124,Self-employed,51,Single,0,552,2,0.17,8655,30669,11518,36,Car,Semiurban,Graduate,Female,,No
654,12478,9519,Self-employed,54,Married,1,763,2,0.4,18582,12809,33360,36,Car,Urban,Not Graduate,Male,Government,No
655,14394,8125,Salaried,35,Married,1,635,0,0.12,,,29173,24,Personal,Urban,Graduate,Male,Business,No
656,6432,3291,Salaried,45,Married,1,623,3,0.35,11957,29454,10395,12,Home,Semiurban,Graduate,Male,Unemployed,No
657,15568,4033,Unemployed,56,Married,3,600,2,0.18,4008,7254,20207,72,Personal,Urban,Graduate,Male,MNC,No
658,16178,,Salaried,28,Single,0,616,,0.19,11696,45590,39055,12,Education,Urban,Not Graduate,,Business,No
659,19660,703,Unemployed,29,Married,1,625,2,0.28,9104,24785,27639,60,Personal,Urban,Graduate,Female,Business,No
660,2302,8133,Self-employed,57,Married,3,642,4,0.32,496,2093,29924,36,Personal,Urban,,Male,Unemployed,No
661,19022,574,Salaried,59,Single,0,725,4,0.41,1463,44498,8433,72,Education,Urban,Graduate,Female,Unemployed,No
662,2055,5704,Salaried,52,Married,2,694,,0.14,12459,40985,31104,84,Personal,Urban,Graduate,Male,Unemployed,No
663,15013,7848,Salaried,37,Single,1,556,1,0.35,16877,32009,38594,84,Home,Semiurban,Graduate,Male,Business,No
664,10717,5208,Unemployed,55,Married,0,562,2,0.19,17810,16558,,36,Business,Rural,Graduate,Male,Private,No
665,10150,6924,Salaried,57,Single,1,669,1,0.39,9884,17718,11528,12,Education,Rural,Graduate,Female,Private,Yes
666,4125,3828,Salaried,39,Single,,615,3,,18177,16705,29190,72,Car,Urban,Graduate,Male,Private,No
,13479,3230,Salaried,49,Single,0,553,1,0.38,2723,22082,1497,24,Home,,Graduate,Female,Unemployed,No
668,17745,,Salaried,27,Single,3,687,3,0.47,17042,12342,8641,84,Business,Rural,Graduate,Female,MNC,No
669,18748,7114,,48,Married,0,780,3,0.27,4761,12239,5643,12,,Rural,Graduate,Female,Government,Yes
670,8809,9539,Salaried,29,Married,3,637,3,0.48,7630,46622,6056,24,Home,Urban,Graduate,Female,Government,No
671,6621,3173,Contract,48,Single,0,566,1,0.32,16375,46665,33899,72,Car,Urban,Graduate,Male,Private,No
672,17034,1667,Salaried,26,Married,3,601,2,0.34,8741,32274,,36,Business,Semiurban,Not Graduate,Female,Government,No
673,15623,9829,Salaried,49,Married,2,683,1,0.42,4350,11419,18241,60,Home,Rural,Graduate,Female,Business,No
674,7126,4114,Salaried,37,Married,2,760,2,0.11,207,42832,9712,48,,Rural,Graduate,Female,Government,Yes
,7122,3553,Salaried,36,Married,2,618,2,0.43,4190,15003,9221,36,Education,Rural,Graduate,Male,Private,No
,19302,7761,Unemployed,43,Married,0,773,3,0.41,1883,30866,32346,24,Car,Urban,Graduate,Female,Government,No
677,7870,1000,Self-employed,51,Married,2,751,1,0.25,2886,21988,16660,12,Personal,Rural,Not Graduate,Male,Private,Yes
678,3531,9042,Salaried,23,,1,686,2,0.14,16861,43027,39915,,Car,Urban,Graduate,Male,Unemployed,No
679,10172,1388,Self-employed,41,Married,,768,4,0.15,8953,24908,,72,Car,Rural,Graduate,Female,Private,Yes
680,9673,5450,,46,Married,3,754,,0.56,8381,5674,38372,36,Car,Semiurban,Graduate,Female,Unemployed,No
681,8882,,Salaried,56,Married,3,760,4,0.44,13795,5002,18942,84,Home,Rural,Graduate,Male,Private,No
682,3906,1367,Unemployed,,Married,3,570,1,0.16,17139,27567,,84,Business,Urban,Graduate,Female,Private,No
683,5086,8189,Contract,,Single,0,573,1,0.28,9638,910,2607,60,Car,Urban,Graduate,Male,Business,No
684,15503,9013,Unemployed,32,Married,1,779,1,0.4,4931,29072,,72,Car,Rural,Not Graduate,Male,MNC,No
685,10152,454,Salaried,33,Married,2,553,2,0.52,9855,33717,4574,24,Personal,Semiurban,Not Graduate,Male,Government,No
686,7750,9816,Self-employed,31,Single,1,701,0,0.12,5724,21809,8274,72,Personal,Rural,Graduate,Male,Private,Yes
687,14772,,Salaried,36,Married,1,736,2,0.22,12420,26651,16748,,Education,Rural,Graduate,Female,Private,Yes
688,12267,,,28,Married,3,776,2,0.54,4060,44291,21175,12,Education,Urban,Not Graduate,Male,Business,
689,3062,7232,Contract,22,Married,3,552,3,,4765,43989,12826,48,Personal,Rural,Graduate,Male,Private,No
690,19680,4806,Salaried,50,Single,3,617,3,,19996,16484,,84,Business,Rural,Graduate,Male,Private,No
691,8229,2190,Contract,50,Married,0,798,2,0.58,6553,4646,35129,24,Education,Semiurban,Not Graduate,Male,Business,No
692,18509,9108,Contract,32,Married,,650,4,0.41,7378,39713,5473,12,Business,Urban,Graduate,Female,Private,No
693,17147,2875,Salaried,30,Married,1,717,3,0.23,18073,2400,24490,84,Personal,Rural,Graduate,Male,Private,Yes
694,6632,5592,Self-employed,31,Married,0,725,2,0.13,17700,44331,10481,48,Education,Urban,Graduate,Male,Private,Yes
695,8288,1440,Self-employed,35,Married,0,603,0,0.11,7130,22185,9520,12,Car,Rural,Graduate,Female,Unemployed,No
696,,8927,Salaried,36,Married,0,584,4,0.22,3186,,,48,Personal,Semiurban,Not Graduate,Male,Private,No
697,13475,6059,Contract,37,Married,1,772,1,0.54,5789,33120,18570,48,Education,Urban,Graduate,Female,Unemployed,No
698,8168,7010,,46,,1,,2,0.31,16122,48257,20798,48,Business,Urban,Not Graduate,Male,Private,
699,11795,7117,Salaried,22,Single,3,657,2,0.46,17529,1018,4536,12,Business,Rural,Graduate,Male,MNC,
700,9561,9153,Self-employed,,Married,3,766,4,0.56,7942,17563,2773,72,Education,Rural,Graduate,Female,Private,No
